Number of Drones,Attraction Constant,Repulsion Constant,Mean Final Percentage,Std Final Percentage,Mean Data Length,Std Data Length
5,200,320,36.63,17.64,907.4,137.55
5,200,340,36.53,13.58,864.33,102.86
5,200,360,33.1,22.62,832.07,50.03
5,200,380,34.53,13.5,859.8,61.17
5,200,400,28.43,12.66,850.4,66.57
5,220,0,15.43,15.94,829.4,113.98
5,220,20,26.4,15.88,847.27,120.78
5,220,40,32.2,19.3,842.8,108.21
5,220,60,19.43,19.08,869.87,129.09
5,220,80,32.27,16.33,832.2,158.63
5,220,100,33.73,15.96,817.33,147.7
5,220,120,28.13,14.61,853.07,119.59
5,220,140,27.47,13.13,868.13,156.1
5,220,160,32.23,13.89,843.07,139.42
5,220,180,35.13,21.34,846.4,106.15
5,220,200,36.23,14.6,791.67,99.92
5,220,220,32.2,16.84,824.4,96.94
5,220,240,36.33,17.83,881.13,103.7
5,220,260,36.8,13.18,868.6,102.44
5,220,280,35.83,15.4,803.33,107.65
5,220,300,33.9,17.42,885.8,101.77
5,220,320,36.17,16.35,912.93,135.25
5,220,340,36.97,18.14,846.67,100.85
5,220,360,31.83,15.76,873.93,61.28
5,220,380,40.33,15.49,951.67,137.93
5,220,400,33.63,14.67,854.8,133.97
5,240,0,18.17,12.93,809.53,97.73
5,240,20,25.83,15.28,854.47,98.36
5,240,40,21.7,12.3,830.73,60.72
5,240,60,21.73,16.12,876.0,160.15
5,240,80,25.37,14.05,807.33,85.54
5,240,100,26.8,14.66,883.53,124.07
5,240,120,25.17,14.27,865.6,137.68
5,240,140,22.77,15.27,837.6,141.14
5,240,160,35.8,12.33,868.2,115.89
5,240,180,38.23,16.11,803.73,110.28
5,240,200,33.4,21.15,888.4,82.37
5,240,220,36.37,13.25,885.47,163.18
5,240,240,37.37,15.07,903.4,207.86
5,240,260,33.3,15.99,871.93,89.44
5,240,280,28.5,17.75,839.8,166.25
5,240,300,35.67,17.0,896.73,139.84
5,240,320,28.33,14.11,883.73,141.28
5,240,340,27.07,13.46,907.53,108.49
5,240,360,40.53,15.28,927.4,143.8
5,240,380,39.67,11.79,920.13,123.74
5,240,400,40.47,16.38,891.07,135.72
5,260,0,21.37,16.73,802.0,156.2
5,260,20,21.0,12.72,848.73,125.27
5,260,40,22.73,16.78,888.73,130.6
5,260,60,29.5,17.64,826.67,92.51
5,260,80,31.53,16.42,913.4,191.67
5,260,100,35.63,10.71,831.6,165.83
5,260,120,27.73,13.38,838.73,132.03
5,260,140,28.73,20.81,829.6,123.19
5,260,160,34.23,14.66,822.33,124.0
5,260,180,32.13,13.92,911.8,141.95
5,260,200,33.27,17.47,822.8,124.06
5,260,220,42.3,22.7,893.33,158.6
5,260,240,37.0,14.99,846.2,80.75
5,260,260,38.77,13.91,854.27,154.56
5,260,280,31.7,15.41,919.8,132.84
5,260,300,33.3,17.42,890.87,134.96
5,260,320,39.8,18.6,918.6,161.03
5,260,340,41.0,17.32,957.67,171.74
